tarefa,tecnica,input,esperado,resposta,acuracia,tokens_prompt,tokens_resposta,tokens_total,tempo_ms
classificacao_sentimento,zero_shot,"Produto excelente, chegou rapido!",POSITIVO,NEGATIVO,0.0,106,4,110,1569
classificacao_sentimento,few_shot,"Produto excelente, chegou rapido!",POSITIVO,POSITIVO,1.0,155,3,158,148
classificacao_sentimento,chain_of_thought,"Produto excelente, chegou rapido!",POSITIVO,POSITIVO,1.0,174,3,177,172
classificacao_sentimento,role_prompting,"Produto excelente, chegou rapido!",POSITIVO,POSITIVO.,1.0,222,4,226,248
classificacao_sentimento,zero_shot,"Veio quebrado, pessimo atendimento.",NEGATIVO,NEGATIVO,1.0,110,4,114,170
classificacao_sentimento,few_shot,"Veio quebrado, pessimo atendimento.",NEGATIVO,MISTO,0.0,159,4,163,149
classificacao_sentimento,chain_of_thought,"Veio quebrado, pessimo atendimento.",NEGATIVO,MISTO,0.0,178,4,182,170
classificacao_sentimento,role_prompting,"Veio quebrado, pessimo atendimento.",NEGATIVO,NEGATIVO,1.0,226,4,230,248
classificacao_sentimento,zero_shot,Bom preco mas qualidade media.,MISTO,POSITIVO,0.0,105,3,108,165
classificacao_sentimento,few_shot,Bom preco mas qualidade media.,MISTO,NEUTRO,0.0,154,4,158,150
classificacao_sentimento,chain_of_thought,Bom preco mas qualidade media.,MISTO,POSITIVO,0.0,173,4,177,172
classificacao_sentimento,role_prompting,Bom preco mas qualidade media.,MISTO,NEUTRO,0.0,221,4,225,249
classificacao_sentimento,zero_shot,"Entrega no prazo, produto conforme anunciado.",NEUTRO,POSITIVO.,0.0,109,4,113,172
classificacao_sentimento,few_shot,"Entrega no prazo, produto conforme anunciado.",NEUTRO,POSITIVO,0.0,158,3,161,140
classificacao_sentimento,chain_of_thought,"Entrega no prazo, produto conforme anunciado.",NEUTRO,NEUTRO,1.0,177,4,181,171
classificacao_sentimento,role_prompting,"Entrega no prazo, produto conforme anunciado.",NEUTRO,NEUTRO,1.0,225,4,229,251
classificacao_sentimento,zero_shot,"Amei a cor, mas o ziper quebrou no primeiro uso.",MISTO,POSITIVO,0.0,115,3,118,180
classificacao_sentimento,few_shot,"Amei a cor, mas o ziper quebrou no primeiro uso.",MISTO,POSITIVO,0.0,164,3,167,140
classificacao_sentimento,chain_of_thought,"Amei a cor, mas o ziper quebrou no primeiro uso.",MISTO,MISTO,1.0,183,4,187,172
classificacao_sentimento,role_prompting,"Amei a cor, mas o ziper quebrou no primeiro uso.",MISTO,NEGATIVO,0.0,231,4,235,308
extracao_dados,zero_shot,Notebook Dell de R$3500 com pixels mortos na tela.,"{'produto': 'Notebook Dell', 'preco': 'R$3500', 'defeito': 'pixels mortos na tela'}","{""produto"": ""Notebook Dell"", ""preco"": ""R$ 3500"", ""defeito"": ""pixels mortos na tela""}",0.6666666666666666,125,32,157,423
extracao_dados,few_shot,Notebook Dell de R$3500 com pixels mortos na tela.,"{'produto': 'Notebook Dell', 'preco': 'R$3500', 'defeito': 'pixels mortos na tela'}","{""produto"": ""Notebook Dell"", ""preco"": ""R$3500"", ""defeito"": ""pixels mortos""}",1.0,227,29,256,402
extracao_dados,chain_of_thought,Notebook Dell de R$3500 com pixels mortos na tela.,"{'produto': 'Notebook Dell', 'preco': 'R$3500', 'defeito': 'pixels mortos na tela'}","```json
{
  ""produto"": ""Notebook Dell"",
  ""preco"": ""R$3500"",
  ""defeito"": ""pixels mortos na tela""
}
```

Espero que isso seja o que você estava procurando! Se tiver alguma dúvida ou precisar de ajuda adicional, basta perguntar.",1.0,203,77,280,789
extracao_dados,role_prompting,Notebook Dell de R$3500 com pixels mortos na tela.,"{'produto': 'Notebook Dell', 'preco': 'R$3500', 'defeito': 'pixels mortos na tela'}","```json
{
  ""produto"": ""Notebook Dell"",
  ""preco"": ""R$3500"",
  ""defeito"": ""pixels mortos na tela""
}
```

Essa foi a informacao extraida com base no texto fornecido. A extracao de entidades foi realizada com precisao, priorizando apenas as informações explicitas mencionadas no texto.",1.0,233,83,316,912
extracao_dados,zero_shot,Comprei uma cafeteira Nespresso por R$890 e o reservatorio vaza.,"{'produto': 'cafeteira Nespresso', 'preco': 'R$890', 'defeito': 'reservatorio vaza'}","{""produto"": ""cafeteira Nespresso"", ""preco"": ""R$890"", ""defeito"": ""reservatorio vaza""}",1.0,130,32,162,423
extracao_dados,few_shot,Comprei uma cafeteira Nespresso por R$890 e o reservatorio vaza.,"{'produto': 'cafeteira Nespresso', 'preco': 'R$890', 'defeito': 'reservatorio vaza'}","{""produto"": ""cafeteira Nespresso"", ""preco"": ""R$890"", ""defeito"": ""reservatorio vaza""}",1.0,232,32,264,420
extracao_dados,chain_of_thought,Comprei uma cafeteira Nespresso por R$890 e o reservatorio vaza.,"{'produto': 'cafeteira Nespresso', 'preco': 'R$890', 'defeito': 'reservatorio vaza'}","{
  ""produto"": ""cafeteira Nespresso"",
  ""preco"": ""R$890"",
  ""defeito"": ""reservatorio vaza""
}",1.0,208,37,245,449
extracao_dados,role_prompting,Comprei uma cafeteira Nespresso por R$890 e o reservatorio vaza.,"{'produto': 'cafeteira Nespresso', 'preco': 'R$890', 'defeito': 'reservatorio vaza'}","```json
{""produto"": ""cafeteira Nespresso"", ""preco"": 890, ""defeito"": ""reservatorio vaza""}
```

Espero que as informações extraias sejam precisas. Se houver alguma dúvida ou precisarmos de mais dados, basta me informar!",0.6666666666666666,238,71,309,810
extracao_dados,zero_shot,"Fone Sony WH-1000XM5 custou R$1899, bateria dura so 2 horas.","{'produto': 'Fone Sony WH-1000XM5', 'preco': 'R$1899', 'defeito': 'bateria dura so 2 horas'}","{""produto"": ""Fone Sony WH-1000XM5"", ""preco"": ""R$1899"", ""defeito"": ""bateria dura apenas 2 horas""}",0.6666666666666666,135,40,175,491
extracao_dados,few_shot,"Fone Sony WH-1000XM5 custou R$1899, bateria dura so 2 horas.","{'produto': 'Fone Sony WH-1000XM5', 'preco': 'R$1899', 'defeito': 'bateria dura so 2 horas'}","{""produto"": ""Fone Sony WH-1000XM5"", ""preco"": ""R$1899"", ""defeito"": ""bateria dura so 2 horas""}",1.0,237,40,277,493
extracao_dados,chain_of_thought,"Fone Sony WH-1000XM5 custou R$1899, bateria dura so 2 horas.","{'produto': 'Fone Sony WH-1000XM5', 'preco': 'R$1899', 'defeito': 'bateria dura so 2 horas'}","{""produto"": ""Fone Sony WH-1000XM5"", ""preco"": ""R$1899"", ""defeito"": ""bateria dura so 2 horas""}",1.0,213,40,253,483
extracao_dados,role_prompting,"Fone Sony WH-1000XM5 custou R$1899, bateria dura so 2 horas.","{'produto': 'Fone Sony WH-1000XM5', 'preco': 'R$1899', 'defeito': 'bateria dura so 2 horas'}","```json
{""produto"": ""Fone Sony WH-1000XM5"", ""preco"": ""R$1899"", ""defeito"": ""bateria dura so 2 horas""}
```

Existe um defeito mencionado no texto. O produto não apresenta nenhum outro problema.",1.0,243,66,309,790
extracao_dados,zero_shot,Mesa gamer por R$1200 chegou com perna torta.,"{'produto': 'Mesa gamer', 'preco': 'R$1200', 'defeito': 'perna torta'}","{""produto"": ""Mesa gamer"", ""preco"": ""R$1200"", ""defeito"": ""perna torta""}",1.0,126,30,156,408
extracao_dados,few_shot,Mesa gamer por R$1200 chegou com perna torta.,"{'produto': 'Mesa gamer', 'preco': 'R$1200', 'defeito': 'perna torta'}","{""produto"": ""Mesa gamer"", ""preco"": ""R$1200"", ""defeito"": ""perna torta""}",1.0,228,30,258,408
extracao_dados,chain_of_thought,Mesa gamer por R$1200 chegou com perna torta.,"{'produto': 'Mesa gamer', 'preco': 'R$1200', 'defeito': 'perna torta'}","{
  ""produto"": ""Mesa gamer"",
  ""preco"": ""R$1200"",
  ""defeito"": ""Perna torta""
}",1.0,204,35,239,433
extracao_dados,role_prompting,Mesa gamer por R$1200 chegou com perna torta.,"{'produto': 'Mesa gamer', 'preco': 'R$1200', 'defeito': 'perna torta'}","```json
{""produto"": ""Mesa gamer"", ""preco"": ""R$1200"", ""defeito"": ""perna torta""}
```

Espero que isso atenda às suas necessidades. Se precisar de mais ajuda, estou à disposição!",1.0,234,61,295,751
